Page Name,Exisiting text,Key,Feedback and Instructions,Translation,Dev Comments,Reply for Dev Comments
Left navigation,Home,Home,When you open the website the first page is blank can it please load with the Home page - i.e. with all the icons. ,முகப்பு,Done,
Left navigation,Upload,Upload,,பதிவேற்றுக,,
Left navigation,Download,Download,,பதிவிறக்குக,,
Left navigation,Validate,Validate,,சரிபார்க்க,,
Left navigation,Export,Export,,தகவல் வெளிக்கொணர்தல்,,
Left navigation,Visualizations,Visualizations,,காட்சிப் படங்கள்,Repeat of 204,
Left navigation,Plans,Plans,,திட்டங்கள்,,
Upload,Surveys,Surveys,,கணக்கெடுப்புகள்,,
Upload,Create or edit surveys,Create a new survey or view and edit existing surveys,This needs to be the same on the Home page,ஒரு புதிய கணக்கெடுப்பு உருவாக்க அல்லது ஏற்கனவே உள்ள கணக்கெடுப்பை பார்க்க மற்றும் மாற்றங்கள் செய்ய,Done,
Upload,Upload data,Upload data,,தகவலை பதிவேற்றுக,,
Upload,Sync the data collected to the server,Sync data collected to the server,,சேகரிக்கப்பட்ட தகவல்களை வலை தள சேவையகத்தில் ஒத்திசைவு செய்தல்,,
Surveys,New Survey,New survey,,புதிய கணக்கெடுப்பு,,
Surveys,Create a new Survey,Create a new survey,,ஒரு புதிய கணக்கெடுப்பை உருவாக்குக,,
Surveys,Locations Data,Geographic coverage,,புவியமைப்பை பதிவு செய்தல்,,
Surveys,View / edit / update locations,Upload or edit geographic data that specifies what area the survey will cover,,கணக்கெடுப்பு எந்த பகுதியை குறிப்பிடுகிறது என்பதை குறிப்பிடும் புவியமைப்புத் தரவைப் பதிவேற்றவும் அல்லது திருத்தம் செய்வதற்கு,,
Surveys,Surveyors Data,Surveyor data,,கணக்கெடுப்பாளரின் தகவல்,,
Surveys,View / edit / update surveyors,Upload and edit data regarding surveyor.,,கணக்கெடுப்பாளர் தொடர்பான தகவல் பதிவேற்றம்அல்லது திருத்தம் செய்வதற்கு,This overflows. Can't adjust size for this alone.,Size of the text may be reduced for this.
Surveys,Images & other Artifacts,Survey images and artifacts,,கணக்கெடுப்பிற்கான படங்கள் மற்றும் கலைப்பொருட்கள்,,
Surveys,View / edit / update images used in surveys,Upload and edit images that are part of your survey,,கணக்கெடுப்பின் ஒரு பகுதியாக இருக்கும் படங்களை பதிவேற்றம் அல்லது திருத்தம் செய்வதற்கு,,
Surveys,List surveys,Existing surveys,Remove hyperlinks on the list of surveys in these tables?,ஏற்கனவே உள்ள கணக்கெடுப்புகள்,"If we remove hyperlinks from all list,  for mapping style surveys, can't download other CSVs, and for Surveyors, can't see name.",
Surveys,View existing surveys,View and edit existing surveys,,ஏற்கனவே உள்ள கணக்கெடுப்புகளை பார்க்க மற்றும் திருத்தம் செய்ய,,
New Survey,Creating Survey…,Create a new survey,,ஒரு புதிய கணக்கெடுப்பை உருவாக்க,,
New Survey,Name,Survey name,,கணக்கெடுப்பின் பெயர்,,
New Survey,Enter survey name,Enter survey name,,கணக்கெடுப்பின் பெயரை பதிவு செய்யவும்,,
New Survey,Description,Survey description,,கணக்கெடுப்பின் விளக்கம்,,
New Survey,Enter survey description,Enter a description of the survey,,கணக்கெடுப்பின் விளக்கத்தை பதிவு செய்யவும்,,
New Survey,Enabled?,Do you want to enable this survey?,,இந்த கணக்கெடுப்பை இயக்க விரும்புகிறீர்களா?,,
,,Note: This will activate this survey and make it live,,குறிப்பு: இது இந்த கணக்கெடுப்பை செயல்படுத்துவதற்கும் மற்றும் தற்போதைய கணக்கெடுப்பிற்கான பட்டியலிலும் இடம் பெறும்.,,
New Survey,CSV Upload,Upload the survey,,கணக்கெடுப்பு பதிவேற்றம்,,
,,Note: The survey needs to be in CSV format,,குறிப்பு: கணக்கெடுப்பு CSV வடிவத்தில் இருக்க வேண்டும்,,
New Survey,Choose File,Choose File,,கோப்புகளை தேர்வு செய்யவும்,This is not in my control.  This is shown by the user's browser.,ok
New Survey,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
New Survey,Create,Create survey,,கணக்கெடுப்பை உருவாக்க,,
Geographic coverage,Exisiting locations,Geographic coverage,,புவியியமைப்பை பதிவு செய்தல்,,
Geographic coverage,Name,,"For this table can we see the whole table? Its good to see the links (District name, Block name, Village name and Habitation name) together not just single names. Can we keep it in this order. When I select Habitation it says Name not Habitation name. Same for the other selections. Great if we can keep District name consistent accross the website - in some tables it says DISTRICT some District Name - Please lets keep it District name for all tables. Same for Village name, Block name, Habitation name. ",,Done.,
Geographic coverage,Name,,,பெயர்,,
Geographic coverage,Code,,,குறியீடு,,
Geographic coverage,Type,,Can remove this column,,Done,Ok
Geographic coverage,Created on,,Can remove this column,,Done,Ok
Geographic coverage,Search,Search,,தேடுக,,
Geographic coverage,Upload Locations CSV,Upload geographic data,,புவியமைப்புத்தகவலை பதிவேற்றம் செய்,,
Upload Location Data,Upload Location Data,Upload geographic Data,,புவியமைப்புத்தகவலை பதிவேற்றம் செய்,,
Upload Location Data,,This geographic data needs to be in CSV format. Changing this file will update all existing geographic data. Ensure that your file includes every level of the area you wish to cover.,Add this note below the page heading,"இந்த புவியியல் தரவு CSV வடிவமைப்பில் இருக்க வேண்டும். இந்த கோப்பினை மாற்றுவதன் மூலம், இருக்கும் அனைத்துபுவியமைப்பு தரவையும் புதுப்பிக்க. உங்கள் கோப்பை நீங்கள் சேர்க்க விரும்பும் பகுதியின் ஒவ்வொரு மட்டத்தையும் உள்ளடக்குகிறது என்பதை உறுதிப்படுத்தவும்.",,
Upload Location Data,Choose File,Choose File,,கோப்புகளை தேர்வு செய்,Not changeable,
Upload Location Data,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
Upload Location Data,Upload,Upload geographic data,,புவியமைப்புதகவலை பதிவேற்றம் செய்,,
Surveyor data,Existing surveyors,Surveyor data,,கணக்கெடுப்பாளரின் தகவல்,,
Surveyor data,,"Upload and edit data regarding surveyors codes, what survey they will be administering and where they will administer it",Add this note below the page heading,"கண்கெடுப்பாளர்களின் குறியீடுகளைப் பற்றிய தரவைப் பதிவேற்றலாம் மற்றும் திருத்தலாம், அவர்கள் எங்கு மற்றும் எந்தப் கணக்கெடுப்பை அவர்கள் மேற்கொள்வார்கள் போன்ற விவரங்கள் அடங்கும்.",,
Surveyor data,Search,Search,,தேடுக,,
Surveyor data,Upload Surveyors CSV,Upload surveyor data,,கணக்கெடுப்பாளரின் தகவலை பதிவேற்றம் செய்தல்,,
Surveyor data,District,District name,Please make this consistent across the website. See D36.,மாவட்டத்தின் பெயர்,Done,
Surveyor data,Block,Block name,,வட்டாரத்தின் பெயர்,Done,
Surveyor data,Panchayat,Panchayat name,,ஊராட்சியின் பெயர்,Done,
Surveyor data,Code,Surveyor code,,கணக்கெடுப்பாளரின் குறியீடு,Done,
Surveyor data,Name,Surveyor name,This seems to be displaying Block name in the table. When you click edit it shows the right name. Not sure if this is a bug. ,கணக்கெடுப்பாளரின் பெயர்,Done,
Surveyor data,Survey,Survey type,,கணக்கெடுப்பின்வகை,"Survey does not have ""type""",
Surveyor data,Actions,Actions,,நடவடிக்கை,,
Surveyor data,Edit,Edit,,திருத்துக,,
Surveyor data,Delete,Delete,,நீக்குக,,
Upload Surveyors Data,Upload Surveyors Data,Upload surveyor data,,கணக்கெடுப்பாளரின் தகவலை பதிவேற்றம் செய்தல்,,
Upload Surveyors Data,,This surveyor data needs to be in CSV format. This file should include geography details for each surveyor as well as each type of survey they will be administering. Surveyor codes should be unique.,Add this note below the page heading,இந்த கணக்கெடுப்பாளருக்கான தரவு CSV வடிவமைப்பில் இருக்க வேண்டும். இந்த கோப்பு ஒவ்வொரு கணக்கெடுப்பாளருக்கான புவியமைப்பின் விவரங்கள் மற்றும் அவர்கள் நிர்வகிக்கும் ஒவ்வொரு வகையிலும் சேர்க்கப்பட வேண்டும். கணக்கெடுப்பாளரின் குறியீடுகள் தனிப்பட்டதாக இருக்க வேண்டும்.,,
Upload Surveyors Data,,Enumerators CSV file,,,,
Upload Surveyors Data,Choose File,Choose File,,கோப்புகளை தேர்வு செய்யவும்,,
Upload Surveyors Data,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
Upload Surveyors Data,Upload,Upload surveyor data,,கணக்கெடுப்பாளரின் தகவலை பதிவேற்றம் செய்தல்,,
Update Surveyor Information,Update Surveyor Information,Edit surveyor data,,கணக்கெடுப்பாளரின் தகவலை திருத்தம் செய்வதற்கு,,
Update Surveyor Information,Name,Surveyor name,,கணக்கெடுப்பாளரின் பெயர்,,
Update Surveyor Information,Code,Surveyor code,,கணக்கெடுப்பாளரின் குறியீடு,,
Update Surveyor Information,Panchayat,Panchayat name,,ஊராட்சியின் பெயர்,,
Update Surveyor Information,Update,Update,,புதுப்பிக்க,,
Images & other Artifacts,Exisitng Images,Survey images,,கணக்கெடுப்பிற்கான படங்கள்,,
Images & other Artifacts,,Upload images that are part of your survey. This should be the same name as what is in the survey CSV file.,Add this note below the page heading,உங்கள் கணக்கெடுப்பின் அங்கமாக இருக்கும் படங்களை பதிவேற்றலாம். இந்த கணக்கெடுப்பு CSV கோப்பு என்ன பெயரோ அதே பெயராக இருக்க வேண்டும்.,Should this be CSV Koppil enna peyaro?  in the tamil translation,
Images & other Artifacts,Search,Search,,தேடுக,,
Images & other Artifacts,Create new image,Create new image,,புதிய படங்கள் நிறுவுக,,
Images & other Artifacts,Name,Image name,,படத்தின் பெயர்,,
Images & other Artifacts,Created On,Date created,,உருவாக்கப்பட்ட தேதி,,
Images & other Artifacts,Actions,Actions,,நடவடிக்கை,,
Images & other Artifacts,Edit,Edit,,திருத்துக,,
Images & other Artifacts,Delete,Delete,,நீக்குக,,
Create new image,,Create a new image,Add this as a page title,புதிய படங்கள் நிறுவுக,"Why is this ""Survey"" in Image page?",Its fine
Create new image,,Upload images that are part of your survey. This should be the same name as what is in the survey CSV file.,Add this note below the page heading,உங்கள் கணக்கெடுப்பின் அங்கமாக இருக்கும் படங்களை பதிவேற்றலாம். இந்த கணக்கெடுப்பு CSV கோப்பு என்ன பெயரோ அதே பெயராக இருக்க வேண்டும்.,,
Create new image,Name,Image name,,படத்தின் பெயர்,,
Create new image,Enter name,Enter image name,,படத்தின் பெயரை பதிவு செய்க,,
Create new image,Description,Image description,,படத்தின் விளக்கம்,,
Create new image,Enter description,Enter a description of the image,,படத்தின் விளக்கத்தை பதிவு செய்க,,
Create new image,Image(s) Upload,Upload images that are part of your survey,,உங்கள் கணக்கெடுப்பின் அங்கமாக இருக்கும் படங்களை பதிவேற்றலாம்,"Should add note that multiple files will be named as -1, -2, ... (because they can't all have the same name provided)","Ok, fine"
,,"Note: Please name Images in this format - SurveyName_QuestionNumber_Answer.extension (Answer - good, bad, average, 1/2/3, etc.) - for example: Mapping_1.2.1_good.jpg",,"குறிப்பு: தயவு செய்து படங்களின் பெயரை இந்த வடிவத்தில் குறிப்பிடவும். SurveyName_QuestionNumber_Answer.extension (Answers Good, bad and Average 1/2/3.) - உதாரணமாக: Mapping_1.2.1_good.jpg",,
Create new image,Choose Files,Choose File,,கோப்புகளை தேர்வு செய்க,,
Create new image,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
Create new image,Upload,Upload image,,படங்களை பதிவேற்றம் செய்க,,
Edit survey image,,Edit survey image,Add this as a page title,கணக்கெடுப்பு படங்களை திருத்தம் செய்க,,
Edit survey image,Name,Image name,,படத்தின் பெயர்,,
Edit survey image,Description,Image description,,படத்தின் விளக்கம்,,
Edit survey image,Enter description,Enter a description of the image,,படத்தின் விளக்கத்தை பதிவு செய்க,,
Edit survey image,Image(s) Upload,Edit this image,,இந்த படத்தை திருத்தம் செய்க,,
Edit survey image,Choose Files,Choose File,,கோப்புகளை தேர்வு செய்க,,
Edit survey image,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
Edit survey image,Update,Update image,,படங்களை புதுப்பிக்க,,
List surveys,Existing surveyors,Existing surveys,,ஏற்கனவே உள்ள கணக்கெடுப்புகள்,,
List surveys,Search,Search,,தேடுக,,
List surveys,,Created new survey,Can we remove this button?,புதிய கணக்கெடுப்பு உருவாக்கப்பட்டது,,
List surveys,Name,Survey name,,கணக்கெடுப்பின் பெயர்,,
List surveys,Live,Enabled?,,இயக்கப்பட்டுள்ளதா?,,
List surveys,Created On,Date created,,உருவாக்கப்பட்ட தேதி,,
List surveys,Actions,Actions,,நடவடிக்கை,,
List surveys,Delete,Delete,,நீக்குக,,
List surveys,Edit,Edit,,திருத்துக,,
Edit Survey,"Update survey ""Name""",Update survey,,கணக்கெடுப்பை புதுப்பித்தல்,,
Edit Survey,Name,Survey name,,கணக்கெடுப்பின் பெயர்,,
Edit Survey,Description,Survey description,,கணக்கெடுப்பின் விளக்கம்,,
Edit Survey,Enabled?,Do you want to enable this survey?,,இந்த கணக்கெடுப்பை இயக்க விரும்புகிறீர்களா?,,
,,Note: This will activate this survey and make it live,,குறிப்பு: இது இந்த கணக்கெடுப்பை செயல்படுத்துவதற்கும் மற்றும் தற்போதைய கணக்கெடுப்பிற்கான பட்டியலிலும் இடம் பெறும்.,,
Edit Survey,CSV Upload,Upload this survey,,இந்த கணக்கெடுப்பு பதிவேற்றம் செய்க,,
,,Note: This survey needs to be in CSV format,,குறிப்பு: கணக்கெடுப்பு CSV வடிவத்தில் இருக்க வேண்டும்,,
Edit Survey,Choose File,Choose File,,கோப்புகளை தேர்வு செய்க,,
Edit Survey,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
Edit Survey,Update,Update survey,,கணக்கெடுப்பை புதுப்பிக்க,,
Upload data,Uploading answers…,Upload data collected,,சேகரிக்கப்பட்ட தகவல்களை பதிவேற்றம் செய்க,,
Upload data,Answer JSON files,Upload data,,தகவல்களை பதிவேற்றம் செய்க,,
,,"Note: You can select multiple files, they must all be in JSON format",,"குறிப்பு: ஒன்றுக்கு மேற்பட்ட கோப்புகளை தேர்வு செய்யலாம், அனைத்து கோப்புகளும் கட்டாயமாகJSON வடிவத்தில் இருக்கவேண்டும்",,
Upload data,Choose Files,Choose Files,,கோப்புகளை தேர்வு செய்க,Cannot change,ok
Upload data,No file chosen,No file chosen,,எந்த கோப்பும் தேர்வு செய்யப்படவில்லை,,
Upload data,Upload,Upload data,,தகவல்களை பதிவேற்றம் செய்க,,
Download,,Download survey application,"Add this as a page title - Please change the name as ""Download survey application""",கணக்கெடுப்பிற்கான மென்பொருளை பதிவிறக்கம் செய்க,Verify: there's already a title,Please change the titile name as specified
,,Download and install the survey application on your tablet or mobile device,,உங்கள் டேப்லெட் அல்லது மொபைலில் கணக்கெடுப்பிற்கான மென்பொருளை பதிவிறக்கம் செய்து நிறுவவும்,,
,,Click the Download Application button. The survey app will be in .apk format.,,மென்பொருள் பதிவிறக்கம் பொத்தானை அழுத்தவும். கணக்கெடுப்பிற்கான மென்பொருள் .apk வடிவத்தில் இருக்கும்.,,
,,Save the VDP.apk file to your computer.,,.apk மென்பொருள் கோப்புவை உங்கள் கணிணியில் சேமித்து வைத்துக்கொள்ளவும்.,,
,,Then copy the application file from your computer and paste into tablet drive.,,பின்னர் உங்கள் கணினியிலிருந்து .apk மென்பொருள் கோப்புவை நகலெடுத்து,,
,,Then run the application file. Click the install button. The application will have a Government of Tamil Nadu logo in the name of “Village Development Plan”.,,பின்னர் .apk மென்பொருள் கோப்புவை இயக்கவும். நிறுவுதல் என்ற பொத்தானைக் அழுத்தவும். பின்னர் தமிழக அரசு சின்னம் கொண்ட மென்பொருள் “கிராம வளர்ச்சி திட்டம்” என்ற பெயரில் தங்கள் டேப்லெட் அல்லது மொபைலில் நிறுவப்பட்டிருக்கும்.,,
,,Open the application to set up the survey.,,கணக்கெடுப்பு செல்ல மென்பொருளை அழுத்தி இயக்கவும்.,,
,,Enter the Surveyor Code and press Okay.,,கணக்கெடுப்பாளரின் குறியீட்டை பதிவு செய்து “OK“ என்ற பொத்தானை அழுத்தவும்.,,
,,Press the Download Survey button. This will automatically download the appropriate survey to the tablet. Return to the Home screen by pressing the Back button.,,கணக்கெடுப்பு பதிவிறக்கம் என்ற பொத்தானை அழுத்தவும். இது கணக்கெடுப்பாளரின் குறியீட்டிற்கு ஏற்ற சரியான கணக்கெடுப்பு படிவத்தை தானாகவே பதிவிறக்கம் செய்யும்.பின்னர் டேப்லெடில் உள்ள “BACK” என்ற பொத்தானை அழுத்தி முகப்புத் திரைக்கு திரும்பவேண்டும்.,,
,,To administer the survey press Proceed.,,கணக்கெடுப்பு படிவத்தை செயலாக்கம் செய்ய “தொடர்க” என்ற பொத்தானை அழுத்தவும்.,,
